我所告诉你关于那座山的一切, 刘宸君
资本主义现实主义：私人情绪与时代症候, [英]马克·费舍
米沃什词典：一部20世纪的回忆录, [波] 切斯瓦夫·米沃什
乌贼骨：蒙塔莱诗集, [意] 欧金尼奥·蒙塔莱
诗歌的坏时代：布莱希特诗选, [德] 贝托尔特·布莱希特
诗人的诞生：韩东的诗歌课, 韩东
你燃烧了我：萨福诗集, [古希腊] 萨福
天花乱坠, 朱国华
意外的旅程：全三册, 许知远
离岛：于偏僻之地重建生活, 库索
在时间荒原上：米沃什自选集, [波] 切斯瓦夫·米沃什
透过俄罗斯棱镜：文学与文化随笔, （美）约瑟夫·弗兰克
格, 随机波动 编
卿本著者：明清女性的性别身份、能动主体和文学书写, [加] 方秀洁
如我如鲸, [英] 多琳·坎宁安
凝望：我的摄影与人生, 叶锦添
少数派的感受, [美] 凯茜·帕克·洪
东京札记, 葛兆光
洋食小川, 小川糸
我的战争都埋在诗里：艾米莉·狄金森传, [美] 阿尔弗雷德·哈贝格
妖怪说, 张云
真实的塞林格, [法] 丹尼斯·德蒙皮恩
大海，飞鸟和学者：文德勒论诗人与诗, （美）海伦·文德勒
湖山：张岱与他的美学世界, 老桥 / 董联桥
我的青春之城：回到伊沃托, [法] 安妮·埃尔诺
忧梦集, [葡] 费尔南多·佩索阿
我就要自由, [日]佐野洋子
二十首情诗与一首绝望的歌, [智利] 巴勃罗·聂鲁达
守灵夜和葬礼是老年人的派对, [美]洛尔·西格尔
大森林里的小木屋：安野光雅插图珍藏本, [美] 劳拉·英格斯·怀德 / [日] 安野光雅 绘
南北看：全五册, 唐鲁孙
托尔金传, [英]汉弗莱·卡彭特
不被定义者：雨果传, [法]马克斯·加洛 / 马克斯·加洛
走南闯北吃东西, 高文麒
变与不变：吉卜力的文学和吉卜力的哲学（全二册）, 铃木敏夫
